Spain, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 24/10/2018
Year    Age        Exposure
1941     44       143938.41
1941     45       155442.38
1941     46       151120.40
1941     47       135768.55
1941     48       139685.45
1941     49       133401.47
1941     50       152233.89
1941     51       139372.23
1941     52       109915.73
1941     53       114148.23
1941     54       108802.89
1941     55       116321.64
1942     12       272423.33
1942     13       274923.21
1942     14       272704.46
1942     15       268179.74
1942     16       261208.61
1942     17       261036.90
1942     18       260644.52
1942     19       266608.07
1942     20       258693.84
1942     21       247935.73
1942     22       241639.11
1942     23       210667.79
1942     24       232264.52
1942     25       226187.50
1942     26       224134.62
1942     27       229693.03
1942     28       218728.86
1942     29       227074.02
1942     30       211020.36
1942     31       225105.96
1942     32       211347.38
1942     33       179210.89
1942     34       194823.79
1942     35       184035.35
1942     36       188325.96
1942     37       190500.31
1942     38       182700.35
1942     39       182334.08
1942     40       173997.67
1942     41       197016.61
1942     42       187425.64
1942     43       137763.38
1942     44       144961.34
1942     45       142915.63
1942     46       153692.29
1942     47       149435.49
1942     48       134507.18
1942     49       137689.17
1942     50       131368.64
1942     51       149417.01
1942     52       137477.65
1942     53       109720.81
1942     54       113990.05
1942     55       108601.39
1943     12       279769.85
1943     13       272925.99
1943     14       273960.02
1943     15       271931.51
1943     16       267799.67
1943     17       260859.09
1943     18       260548.54
1943     19       259099.87
1943     20       264400.04
1943     21       256142.40
1943     22       246085.40
1943     23       239727.77
1943     24       208034.51
1943     25       229204.43
1943     26       222591.24
1943     27       220541.41
1943     28       226964.22
1943     29       216505.97
1943     30       224217.50
1943     31       209414.25
1943     32       223243.92
1943     33       209643.12
1943     34       179376.78
1943     35       193905.55
1943     36       183243.56
1943     37       188089.64
1943     38       189822.90
1943     39       181516.02
1943     40       180927.70
1943     41       172756.13
1943     42       195601.41
1943     43       186352.00
1943     44       137249.83
1943     45       143668.46
1943     46       142013.66
1943     47       152213.36
1943     48       147821.02
1943     49       133378.29
1943     50       135634.54
1943     51       129586.77
1943     52       146920.92
1943     53       135565.85
1943     54       109668.86
1943     55       113834.20
1944     12       275007.21
1944     13       279204.44
1944     14       273400.62
1944     15       272963.15
1944     16       271156.08
1944     17       267396.17
1944     18       260447.51
1944     19       260090.35
1944     20       257582.49
1944     21       262231.50
1944     22       253563.78
1944     23       244181.58
1944     24       237908.49
1944     25       205448.32
1944     26       226199.62
1944     27       219067.48
1944     28       217011.84
1944     29       224383.87
1944     30       214308.60
1944     31       221478.67
1944     32       207919.13
1944     33       221303.25
1944     34       208023.43
1944     35       179586.70
1944     36       193025.40
1944     37       182569.72
1944     38       187864.03
1944     39       189217.68
1944     40       180309.55
1944     41       179643.62
1944     42       171660.63
1944     43       194155.02
1944     44       185362.32
1944     45       136674.24
1944     46       142422.96
1944     47       141274.43
1944     48       150703.56
1944     49       146230.04
1944     50       132140.13
1944     51       133694.99
1944     52       127982.14
1944     53       144367.92
1944     54       133745.68
1944     55       109556.61
